Subsidiary,ParentCompany,Location,RevenueInBillions
Google LLC,"Alphabet, Inc.",Mountain View,305.6
Marvel Enterntainment,The Walt Disney Company,New York City,115.7
Zappos,"Amazon.com, Inc.",Las Vegas,2
Youtube LLC,"Alphabet, Inc.",San Bruno,7.9
Lamborghini,Volkswagen AG,Sant'Agata Bolognese,2.6
Nespresso,Nestle S.A.,Vevey,7
Pixar Animation Studios,The Walt Disney Company,Emeryville,0.77
Audi AG,Volkswagen AG,Ingolstadt,60
Ring LLC,"Amazon.com, Inc.",Hawthorne,0.16
Bentley Motors,Volkswagen AG,Crewe,1.23
Purina Petcare,Nestle S.A.,St. Louis,9.38
Ducati Motors,Volkswagen AG,Borgo Panigale,1.08
ESPN,The Walt Disney Company,Bristol,16
Waymo LLC,"Alphabet, Inc.",Mountain View,1.4
Amazon Web Services,"Amazon.com, Inc.",Seattle,80
Gerber Products & Co,Nestle S.A.,Florham Park,0.61
Audible Inc,"Amazon.com, Inc.",Newark,0.2
LusasFilm Ltd.,The Walt Disney Company,San Francisco,0.45
DeepMind Technologies,"Alphabet, Inc.",London,0.89
Nestle Waters,Nestle S.A.,Issy-less-Moulineaux,4.5
